Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.28,-1.96,-1.54,-0.11572,-0.056152,0.99927,-0.11,-0.015,-0.402
1,-0.49,-2.24,-1.82,-0.12378,-0.054321,1.0002,-0.11,-0.015,-0.402
2,-0.49,-2.03,-1.96,-0.13074,-0.053467,0.99841,-0.11,-0.015,-0.402
3,-0.42,-1.82,-1.75,-0.1333,-0.053955,1.0027,-0.11,-0.015,-0.402
4,-0.42,-1.68,-1.4,-0.13489,-0.052856,1.0022,-0.11,-0.015,-0.402
5,-0.35,-1.47,-0.91,-0.1333,-0.05249,1.0033,-0.11,-0.015,-0.402
6,0,-1.54,-0.77,-0.13708,-0.055054,1.002,-0.111,-0.016,-0.402
7,0.35,-1.61,-0.77,-0.13696,-0.05481,0.99951,-0.111,-0.015,-0.402
8,0.63,-1.26,-0.91,-0.13818,-0.051758,0.99658,-0.111,-0.015,-0.402
9,0.56,-0.63,-0.84,-0.13745,-0.055176,0.99829,-0.111,-0.015,-0.403
10,0.56,-0.14,-0.63,-0.13538,-0.056274,1.0011,-0.111,-0.015,-0.403
11,0.63,-0.07,-0.63,-0.13684,-0.052856,0.99878,-0.111,-0.015,-0.403
12,0.7,-0.35,-0.49,-0.13647,-0.052124,1,-0.111,-0.015,-0.403
13,0.77,-0.63,0,-0.13525,-0.052368,1.0031,-0.111,-0.015,-0.403
14,1.05,-0.91,0.56,-0.12866,-0.049683,1.0026,-0.111,-0.015,-0.404
15,1.68,-0.84,0.91,-0.12561,-0.043945,0.98792,-0.111,-0.015,-0.404
16,2.1,-0.35,0.7,-0.12219,-0.046631,0.97217,-0.111,-0.015,-0.404
17,2.24,0.07,0.42,-0.12219,-0.056152,0.96667,-0.111,-0.015,-0.404
18,2.17,0.21,0.21,-0.12378,-0.06311,0.95947,-0.111,-0.015,-0.404
19,1.82,0.42,0.07,-0.12671,-0.061646,0.95349,-0.11,-0.016,-0.403
20,0.98,-0.07,0.21,-0.12122,-0.059448,0.9646,-0.111,-0.015,-0.404
21,-0.35,-0.35,0.42,-0.11462,-0.059814,0.97363,-0.111,-0.016,-0.404
22,-1.54,-0.21,0.49,-0.10962,-0.053467,0.97815,-0.111,-0.016,-0.404
23,-2.52,-0.7,0,-0.11133,-0.052124,0.98938,-0.111,-0.016,-0.404
24,-2.94,-1.75,-0.42,-0.12036,-0.054565,1.0031,-0.111,-0.016,-0.404
25,-2.87,-2.73,-0.21,-0.11951,-0.050659,1.0133,-0.112,-0.015,-0.404
26,-2.31,-3.08,0.28,-0.11938,-0.045044,1.0183,-0.112,-0.015,-0.404
27,-1.33,-3.15,0.28,-0.12549,-0.044312,1.0206,-0.112,-0.016,-0.405
28,-0.14,-3.01,0.21,-0.12805,-0.046021,1.0193,-0.112,-0.016,-0.404
29,1.05,-2.1,0.14,-0.13135,-0.046631,1.0046,-0.112,-0.016,-0.404
30,1.96,-0.42,0.21,-0.12781,-0.052856,0.99023,-0.112,-0.016,-0.404
31,2.24,0.84,0.07,-0.13086,-0.061157,0.98047,-0.112,-0.016,-0.404
32,1.96,1.33,-0.14,-0.13391,-0.066528,0.97266,-0.112,-0.016,-0.404
33,1.26,1.26,0.07,-0.13159,-0.06604,0.96814,-0.112,-0.016,-0.404
34,-0.07,0.84,0.63,-0.12463,-0.061279,0.97681,-0.112,-0.016,-0.404
35,-1.33,0.35,1.33,-0.11267,-0.054688,1.0006,-0.112,-0.016,-0.404
36,-2.1,0.07,1.75,-0.10669,-0.048218,1.0149,-0.112,-0.016,-0.404
37,-1.82,-0.21,1.61,-0.1051,-0.043701,1.0248,-0.112,-0.016,-0.405
38,-0.63,-0.42,1.26,-0.10474,-0.045044,1.0254,-0.112,-0.016,-0.404
39,0.77,-0.63,0.91,-0.10962,-0.051392,1.0103,-0.112,-0.016,-0.404
40,2.03,-0.63,0.7,-0.11255,-0.055908,0.99695,-0.112,-0.016,-0.404
41,2.24,-0.63,0.49,-0.11768,-0.061279,0.98889,-0.113,-0.016,-0.404
42,1.61,-0.7,0.56,-0.10803,-0.060913,0.99036,-0.112,-0.016,-0.405
43,0.49,-0.63,0.56,-0.10498,-0.060303,0.99536,-0.113,-0.016,-0.405
44,-0.49,-0.42,0.28,-0.10217,-0.060913,1.002,-0.113,-0.016,-0.406
45,-1.12,-0.91,-0.07,-0.10327,-0.060425,1.0114,-0.113,-0.016,-0.406
46,-1.19,-1.96,-0.35,-0.10657,-0.058228,1.0242,-0.113,-0.016,-0.406
47,-1.12,-2.8,-0.28,-0.10547,-0.054199,1.0312,-0.113,-0.016,-0.406
48,-0.63,-3.29,-0.21,-0.1062,-0.050293,1.0298,-0.113,-0.016,-0.406
49,0.21,-3.5,-0.14,-0.10364,-0.050049,1.0256,-0.113,-0.016,-0.406
50,1.12,-3.64,-0.42,-0.10657,-0.051147,1.0171,-0.113,-0.016,-0.406
51,2.03,-3.15,-0.84,-0.11072,-0.055054,1.0043,-0.113,-0.016,-0.405
52,2.66,-2.38,-1.33,-0.1156,-0.058472,0.99426,-0.113,-0.016,-0.405
53,2.94,-1.68,-1.68,-0.12122,-0.060425,0.98242,-0.113,-0.016,-0.405
54,2.59,-0.91,-1.61,-0.12085,-0.06189,0.98108,-0.113,-0.016,-0.405
55,1.96,-0.49,-1.4,-0.1167,-0.061523,0.98279,-0.113,-0.016,-0.406
56,1.54,-0.21,-1.19,-0.11597,-0.058228,0.98193,-0.113,-0.016,-0.406
57,1.47,-0.49,-1.33,-0.11829,-0.052979,0.98401,-0.113,-0.016,-0.406
58,1.12,-1.19,-1.54,-0.12122,-0.050659,0.98999,-0.114,-0.016,-0.405
59,0.77,-1.47,-1.61,-0.12402,-0.047119,0.99524,-0.114,-0.016,-0.406
60,0.91,-1.26,-1.4,-0.12488,-0.045044,0.99438,-0.114,-0.017,-0.406
61,1.4,-1.05,-0.91,-0.11719,-0.043701,0.99011,-0.114,-0.017,-0.406
62,1.82,-0.77,-0.63,-0.11389,-0.043701,0.9834,-0.114,-0.017,-0.406
63,1.96,-0.63,-0.77,-0.11536,-0.050293,0.97424,-0.114,-0.017,-0.406
64,1.96,-0.56,-1.19,-0.11951,-0.052856,0.96777,-0.115,-0.017,-0.407
65,1.61,-0.84,-1.33,-0.12512,-0.05481,0.96301,-0.115,-0.017,-0.407
66,0.98,-1.26,-0.84,-0.12646,-0.054565,0.96387,-0.115,-0.018,-0.407
67,0.28,-1.47,-0.28,-0.12463,-0.051392,0.97217,-0.115,-0.018,-0.406
68,-0.28,-1.19,0.21,-0.11548,-0.041016,0.97595,-0.116,-0.018,-0.406
69,-0.63,-0.63,0.35,-0.1095,-0.035278,0.97754,-0.116,-0.018,-0.406
70,-0.49,0.14,0.07,-0.10925,-0.040405,0.97681,-0.116,-0.018,-0.406
